	01. マリンブルーに沿って.mp3		マリンブルーに沿って		佐咲紗花		320000		4:4		10		4.06204041666667		D:\williamlun\TSDM專輯\01. マリンブルーに沿って.mp3	
	OP：Girlish Lover TV.size.mp3		--		--		192000		1:29		2		1.48375486		D:\williamlun\TSDM專輯\OP：Girlish Lover TV.size.mp3	
	坂本真綾 - 02.色彩.mp3		色彩		坂本真綾		320000		4:34		10		4.55836666666667		D:\williamlun\TSDM專輯\坂本真綾 - 02.色彩.mp3	
	「W∶Wonder tale」／田村ゆかり.mp3		W￣Wonder tale		泬游斗井曰		192000		4:40		6		4.66902152666667		D:\williamlun\TSDM專輯\「W∶Wonder tale」／田村ゆかり.mp3	
	現実ゲーム.mp3		現実ゲーム		ゆいこんぬ		320000		3:7		7		3.11902		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\現実ゲーム.mp3	
	深海少女.mp3		深海少女		ゆいこんぬ		320000		3:35		8		3.57659791666667		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\深海少女.mp3	
	有頂天ビバーチェ.mp3		有頂天ビバーチェ		ゆいこんぬ		320000		3:32		8		3.53131916666667		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\有頂天ビバーチェ.mp3	
	妄想スケッチ.mp3		妄想スケッチ		ゆいこんぬ		320000		3:43		8		3.71635333333333		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\妄想スケッチ.mp3	
	君の好きな本.mp3		君の好きな本		ゆいこんぬ		320000		3:50		9		3.82824416666667		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\君の好きな本.mp3	
	初恋の絵本.mp3		初恋の絵本		ゆいこんぬ		320000		3:21		8		3.3488975		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\初恋の絵本.mp3	
	セツナトリップ.mp3		セツナトリップ		ゆいこんぬ		320000		4:8		9		4.13910166666667		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\セツナトリップ.mp3	
	かくしごと.mp3		かくしごと		ゆいこんぬ		320000		3:59		9		3.98976833333333		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\かくしごと.mp3	
	いーあるふぁんくらぶ.mp3		いーあるふぁんくらぶ		ゆいこんぬ		320000		3:58		9		3.9597275		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\いーあるふぁんくらぶ.mp3	
	01. Scarlet Faith.mp3		Scarlet Faith		仲村芽衣子		320000		4:21		10		4.3437275		D:\williamlun\TSDM專輯\(C85)(同人音楽)[gift] Scarlet Faith (320K)\MP3\01. Scarlet Faith.mp3	
	01. 回レ！雪月花.mp3		隙伊ㄐ悕堎豪		貉郪 悕堎豪		320000		3:55		9		3.9124		D:\williamlun\TSDM專輯\03. 回レ！雪月花 (Remix Ver.)\01. 回レ！雪月花.mp3	
	02. 夢見サンライズ.mp3		?扔件仿奶朮		貉郪 悕堎豪		320000		5:2		12		5.0316		D:\williamlun\TSDM專輯\03. 回レ！雪月花 (Remix Ver.)\02. 夢見サンライズ.mp3	
	(01)black bullet.mp3		black bullet		fripSide		320000		4:22		10		4.35940083333333		D:\williamlun\TSDM專輯\blackbullet\(01)black bullet.mp3	
	01 chAngE.mp3		chAngE		miwa		320000		4:10		9		4.16304791666667		D:\williamlun\TSDM專輯\miwa - chAngE\01 chAngE.mp3	
	01 βios.mp3		汕ios		珧精眳		320000		4:34		10		4.56302666666667		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\01 βios.mp3	
	02.The Reluctant Heroes (Vocal mpi).mp3		The Reluctant Heroes (Vocal mpi)		Hiroyuki Sawano		320000		4:27		10		4.4532		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\02.The Reluctant Heroes (Vocal mpi).mp3	
	01. Rising Hope.mp3		Rising Hope		LiSA		320000		4:11		10		4.18525125		D:\williamlun\TSDM專輯\TVアニメ「魔法科高校の劣等生」OPテーマ「Rising Hope」／LiSA [アニメ盤] (320K+BK)\MP3\01. Rising Hope.mp3	
	(01)sister’s noise.mp3		sister’s noise		fripside		320000		4:20		10		4.33153708333333		D:\williamlun\TSDM專輯\TVアニメ『とある科学の超電磁砲S』OP主題歌「sister's noise」／fripside\(01)sister’s noise.mp3	
	(01)海色.mp3		海色		AKINO from bless4		320000		4:14		10		4.24097916666667		D:\williamlun\TSDM專輯\VTCL-35202(MP3)\(01)海色.mp3	
	01. BAAD - 君が好きだと叫びたい.mp3		君が好きだと叫びたい		BAAD		320000		3:48		9		3.80734666666667		D:\williamlun\TSDM專輯\[030721][灌篮高手]THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~[320K]\01. BAAD - 君が好きだと叫びたい.mp3	
	03. WANDS - 世界が終わるまでは….mp3		世界が終わるまでは…		WANDS		320000		5:16		12		5.26410875		D:\williamlun\TSDM專輯\[030721][灌篮高手]THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~[320K]\03. WANDS - 世界が終わるまでは….mp3	
	01. ツキアカリのミチシルベ.mp3		ツキアカリのミチシルベ		ステレオポニー		320000		3:58		9		3.96504625		D:\williamlun\TSDM專輯\[091104] DARKER THAN BLACK 流星の双子 OP「ツキアカリのミチシルベ」／ステレオポニー [320K+BK]\01. ツキアカリのミチシルベ.mp3	
	Celestial Diva.mp3		Celestial Diva		茅原実里		320000		5:6		12		5.10693833333333		D:\williamlun\TSDM專輯\[120321]iアプリゲーム『ケイオスリングス 2』主題歌「Celestial Diva」／茅原実里[320K+BK]\MP3\Celestial Diva.mp3	
	01. 優しさの理由.mp3		優理由		ChouCho		320000		4:15		10		4.25192791666667		D:\williamlun\TSDM專輯\[120502] TVアニメ 氷菓 OP「優しさの理由」[DVD付初回限定盤]／ChouCho (320K+BK)\01. 優しさの理由.mp3	
	04. 星空のいま.mp3		星空のいま		相良心		320000		3:58		9		3.97496541666667		D:\williamlun\TSDM專輯\[120629][feng]『星空へ架かる橋AA』主題歌CD「4SEASONs／星空のいま」 - のみこ／相良心[320K+BK]\MP3\04. 星空のいま.mp3	
	01. AURORA.mp3		AURORA		藍井エイル		320000		4:23		10		4.3789925		D:\williamlun\TSDM專輯\[120905]TVアニメ『機動戦士ガンダムAGE』OP4「AURORA」／藍井エイル[320K]\MP3\01. AURORA.mp3	
	01. Overfly.mp3		Overfly		春奈るな		320000		4:30		10		4.5069925		D:\williamlun\TSDM專輯\[121128]TVアニメ『ソードアート・オンライン』ED2テーマ「Overfly」／春奈るな[アニメ盤][320K+BK]\MP3\01. Overfly.mp3	
	01. MORE & MORE.mp3		MORE & MORE		豊崎愛生		320000		3:52		9		3.869605		D:\williamlun\TSDM專輯\[121205]To LOVEる-とらぶる-ダークネス キャラクターCD - モモ・ベリア・デビルーク starring 豊崎愛生[320K]\MP3\01. MORE & MORE.mp3	
	01. W：Wonder tale.mp3		W：Wonder tale		田村ゆかり		320000		4:39		11		4.65545541666667		D:\williamlun\TSDM專輯\[130206]TVアニメ『俺の彼女と幼なじみが修羅場すぎる』EDテーマ「W∶Wonder tale」／田村ゆかり[320K+BK]\MP3\01. W：Wonder tale.mp3	
	(02)自由の翼.mp3		自由の翼		Linked Horizon		320000		5:28		13		5.47352375		D:\williamlun\TSDM專輯\[130710]Linked Horizon - 自由への進撃[320K]\MP3\(02)自由の翼.mp3	
	(01)紅蓮の弓矢.mp3		紅蓮の弓矢		Linked Horizon		320000		5:17		12		5.28195875		D:\williamlun\TSDM專輯\[130710]Linked Horizon - 自由への進撃[320K]\MP3\(01)紅蓮の弓矢.mp3	
	14. オレンジ (トーマ).mp3		オレンジ (トーマ)		ユリカ花たん		320000		4:7		10		4.11210833333333		D:\williamlun\TSDM專輯\[130731]ユリカ／花たん - FLOWER[320K]\Disc 2\14. オレンジ (トーマ).mp3	
	08. しわ (buzzG).mp3		しわ (buzzG)		ユリカ花たん		320000		4:19		10		4.31716958333333		D:\williamlun\TSDM專輯\[130731]ユリカ／花たん - FLOWER[320K]\Disc 1\08. しわ (buzzG).mp3	
	15. 歌に形はないけれど (doriko).mp3		歌に形はないけれど (doriko)		ユリカ花たん		320000		5:30		13		5.49964583333333		D:\williamlun\TSDM專輯\[130731]ユリカ／花たん - FLOWER[320K]\Disc 1\15. 歌に形はないけれど (doriko).mp3	
	01. リンクス.mp3		リンクス		三澤紗千香		320000		5:10		12		5.17442125		D:\williamlun\TSDM專輯\[130821]TVアニメ『とある科学の超電磁砲S』ED2テーマ「リンクス」／三澤紗千香[初回限定盤][320K+BK]\MP3\01. リンクス.mp3	
	01 great escape.mp3		--		cinema staff		320000		3:28		8		3.45904708333333		D:\williamlun\TSDM專輯\[130821]TVアニメ『進撃の巨人』ED2テーマ「great escape」／cinema staff[320K]\MP3\01 great escape.mp3	
	歌組雪月花 - 回レ!雪月花.mp3		--		--		320000		23:22		56		23.36740125		D:\williamlun\TSDM專輯\[131127]TVアニメ『機巧少女は傷つかない』ED主題歌 - 「回レ！雪月花」／歌組雪月花[WAV+CUE+LOG]\歌組雪月花 - 回レ!雪月花.mp3	
	01. DAYS of DASH.mp3		DAYS of DASH		鈴木このみ		320000		4:12		10		4.19787708333333		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\01. DAYS of DASH.mp3	
	02. 夢の続き.mp3		夢の続き		鈴木このみ		320000		4:12		10		4.20092458333333		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\02. 夢の続き.mp3	
	03. CHOIR JAIL.mp3		CHOIR JAIL		鈴木このみ		320000		3:53		9		3.88092458333333		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\03. CHOIR JAIL.mp3	
	04. 私がモテないのはどう考えてもお前らが悪い.mp3		私がモテないのはどう考えてもお前らが悪い		鈴木このみ n' キバオブアキバ		320000		3:18		8		3.30318333333333		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\04. 私がモテないのはどう考えてもお前らが悪い.mp3	
	05. 運命のEngagement.mp3		運命のEngagement		鈴木このみ		320000		3:37		8		3.61795875		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\05. 運命のEngagement.mp3	
	06. AVENGE WORLD (Album Ver.).mp3		AVENGE WORLD (Album Ver.)		鈴木このみ		320000		3:60		9		3.99325125		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\06. AVENGE WORLD (Album Ver.).mp3	
	07. 囚人 -Paradox 2013-.mp3		囚人 -Paradox 2013-		鈴木このみ		320000		4:58		12		4.97110166666667		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\07. 囚人 -Paradox 2013-.mp3	
	08. 世界は疵を抱きしめる (Album Ver.).mp3		世界は疵を抱きしめる (Album Ver.)		鈴木このみ		320000		4:9		10		4.14780916666667		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\08. 世界は疵を抱きしめる (Album Ver.).mp3	
	09. あなたに.mp3		あなたに		鈴木このみ		320000		4:43		11		4.71858458333333		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\09. あなたに.mp3	
	10. 約束の続き.mp3		約束の続き		鈴木このみ		320000		4:45		11		4.7568975		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\10. 約束の続き.mp3	
	11. Tears BREAKER (Album Ver.).mp3		Tears BREAKER (Album Ver.)		鈴木このみ		320000		4:24		10		4.39248916666667		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\11. Tears BREAKER (Album Ver.).mp3	
	12. 追憶の黒き魔剣士 (2014Mix Ver.).mp3		追憶の黒き魔剣士 (2014Mix Ver.)		鈴木このみ		320000		5:9		12		5.14481583333333		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\12. 追憶の黒き魔剣士 (2014Mix Ver.).mp3	
	13. I say “Happy day!”.mp3		I say "Happy day!"		鈴木このみ		320000		4:8		10		4.12647583333333		D:\williamlun\TSDM專輯\[140226]鈴木このみ 1stアルバム「17」[320K]\MP3\13. I say “Happy day!”.mp3	
