	01. Ring of Fortune.mp3		Ring of Fortune		佐々木恵梨		320000		4:20		10		4.33937375		D:\williamlun\TSDM專輯\01. Ring of Fortune.mp3	
	01. マリンブルーに沿って.mp3		マリンブルーに沿って		佐咲紗花		320000		4:4		10		4.06204041666667		D:\williamlun\TSDM專輯\01. マリンブルーに沿って.mp3	
	OP：Girlish Lover TV.size.mp3		--		--		192000		1:29		2		1.48375486		D:\williamlun\TSDM專輯\OP：Girlish Lover TV.size.mp3	
	「W∶Wonder tale」／田村ゆかり.mp3		W￣Wonder tale		泬游斗井曰		192000		4:40		6		4.66902152666667		D:\williamlun\TSDM專輯\「W∶Wonder tale」／田村ゆかり.mp3	
	坂本真綾 - 02.色彩.mp3		色彩		坂本真綾		320000		4:34		10		4.55836666666667		D:\williamlun\TSDM專輯\坂本真綾 - 02.色彩.mp3	
	坂本真綾 - 05.色彩 -Instrumental-.mp3		色彩 -Instrumental-		坂本真綾		320000		4:31		10		4.50873416666667		D:\williamlun\TSDM專輯\坂本真綾 - 05.色彩 -Instrumental-.mp3	
	drop.mp3		drop		ゆいこんぬ		320000		5:24		12		5.40038041666667		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\drop.mp3	
	いーあるふぁんくらぶ.mp3		いーあるふぁんくらぶ		ゆいこんぬ		320000		3:58		9		3.9597275		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\いーあるふぁんくらぶ.mp3	
	かくしごと.mp3		かくしごと		ゆいこんぬ		320000		3:59		9		3.98976833333333		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\かくしごと.mp3	
	セツナトリップ.mp3		セツナトリップ		ゆいこんぬ		320000		4:8		9		4.13910166666667		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\セツナトリップ.mp3	
	初恋の絵本.mp3		初恋の絵本		ゆいこんぬ		320000		3:21		8		3.3488975		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\初恋の絵本.mp3	
	君の好きな本.mp3		君の好きな本		ゆいこんぬ		320000		3:50		9		3.82824416666667		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\君の好きな本.mp3	
	妄想スケッチ.mp3		妄想スケッチ		ゆいこんぬ		320000		3:43		8		3.71635333333333		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\妄想スケッチ.mp3	
	有頂天ビバーチェ.mp3		有頂天ビバーチェ		ゆいこんぬ		320000		3:32		8		3.53131916666667		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\有頂天ビバーチェ.mp3	
	深海少女.mp3		深海少女		ゆいこんぬ		320000		3:35		8		3.57659791666667		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\深海少女.mp3	
	現実ゲーム.mp3		現実ゲーム		ゆいこんぬ		320000		3:7		7		3.11902		D:\williamlun\TSDM專輯\(C84)[ゆいこんぬ] 虹色ショコラティエ (320K+COVER)\現実ゲーム.mp3	
